X,Y,Conductivity 16 kHz,TIME
-109.2981583,-27.0882816,2335.442,28:12.8
-109.2981583,-27.0882816,2327.701,28:13.3
-109.2981583,-27.0882816,2323.174,28:13.8
-109.2981583,-27.0882816,2319.338,28:14.3
-109.2981583,-27.0882816,2315.704,28:14.8
-109.2981583,-27.0882816,2310.118,28:15.3
-109.2981583,-27.0882816,2305.359,28:15.8
-109.2981583,-27.0882816,2303.608,28:16.2
-109.2981583,-27.0882816,2308.25,28:16.8
-109.2981583,-27.08828,2317.951,28:17.3
-109.2981583,-27.08828,2331.517,28:17.8
-109.2981583,-27.08828,2346.314,28:18.3
-109.2981583,-27.08828,2360.817,28:18.8
-109.29816,-27.0882783,2374.016,28:19.3
-109.29816,-27.0882783,2385.761,28:19.8
-109.29816,-27.0882783,2397.542,28:20.3
-109.29816,-27.0882783,2408.335,28:20.8
-109.29816,-27.0882783,2417.122,28:21.3
-109.29816,-27.08828,2421.007,28:21.8
-109.29816,-27.08828,2418.583,28:22.3
-109.29816,-27.08828,2408.776,28:22.8
-109.29816,-27.08828,2394,28:23.3
-109.2981616,-27.08828,2377.058,28:23.8
-109.2981616,-27.08828,2362.827,28:24.3
-109.2981616,-27.0882783,2351.458,28:24.8
-109.2981616,-27.0882783,2344.702,28:25.3
-109.2981616,-27.0882783,2338.803,28:25.8
-109.2981616,-27.0882783,2332.905,28:26.3
-109.2981616,-27.0882783,2324.861,28:26.8
-109.2981616,-27.0882783,2319.176,28:27.3
-109.2981616,-27.0882783,2318.22,28:27.7
-109.2981616,-27.0882783,2322.708,28:28.3
-109.2981616,-27.0882766,2330.614,28:28.8
-109.2981616,-27.0882766,2340.557,28:29.3
-109.2981616,-27.0882766,2354.556,28:29.8
-109.2981616,-27.0882766,2370.985,28:30.3
-109.2981633,-27.0882766,2391.882,28:30.8
-109.2981633,-27.0882766,2411.649,28:31.3
-109.2981633,-27.0882766,2429.927,28:31.8
-109.2981633,-27.0882766,2440.503,28:32.3
-109.298165,-27.0882766,2445.828,28:32.8
-109.298165,-27.0882766,2445.384,28:33.3
-109.298165,-27.0882766,2444.548,28:33.8
-109.298165,-27.0882766,2443.962,28:34.3
-109.298165,-27.0882766,2444.957,28:34.8
-109.298165,-27.0882766,2441.879,28:35.2
-109.298165,-27.0882766,2433.249,28:35.8
-109.298165,-27.0882766,2417.436,28:36.3
-109.2981633,-27.0882766,2397.567,28:36.8
-109.2981633,-27.0882766,2376.528,28:37.3
-109.2981633,-27.0882766,2358.025,28:37.8
-109.2981633,-27.0882766,2344.133,28:38.3
-109.2981633,-27.0882766,2333.883,28:38.8
-109.2981633,-27.0882766,2324.502,28:39.3
-109.2981633,-27.0882758,2317.199,28:39.8
-109.2981633,-27.088275,2312.24,28:40.2
-109.2981633,-27.088275,2311.667,28:40.8
-109.2981633,-27.088275,2314.746,28:41.3
-109.2981633,-27.0882758,2323.6,28:41.8
-109.2981633,-27.0882766,2343.745,28:42.3
-109.2981633,-27.0882766,2375.548,28:42.8
